Mass,logT,logg,logR,logtau,logL
0.5,4.82,7.2209,-1.5272435506827877,5.6020599913279625,1.1499
0.5,4.84,7.1793,-1.5058454059815571,5.477121254719663,1.2714
0.5,4.86,7.1347,-1.4828041020500258,5.477121254719663,1.396
0.5,4.88,7.0857,-1.45717457304082,5.301029995663981,1.5251
0.5,4.9,7.0302,-1.4282911681913124,5.0,1.6605
0.6,3.4,8.046,-1.9136401693252518,10.245779084967504,-5.2756
0.6,3.42,8.0458,-1.9136401693252518,10.23125289887482,-5.1954
0.6,3.44,8.0456,-1.9136401693252518,10.216126299159814,-5.1152
0.6,3.46,8.0454,-1.9136401693252518,10.200242936188824,-5.035
0.6,3.48,8.0451,-1.9136401693252518,10.18362567695294,-4.9547
0.6,3.5,8.0449,-1.9136401693252518,10.166202101202783,-4.8745
0.6,3.52,8.0446,-1.9136401693252518,10.147663959809378,-4.7942
0.6,3.54,8.0443,-1.9136401693252518,10.12774604343777,-4.7139
0.6,3.56,8.0439,-1.9136401693252518,10.10618749635361,-4.6335
0.6,3.58,8.0434,-1.9136401693252518,10.08090414461636,-4.553
0.6,3.6,8.0428,-1.9136401693252518,10.051067585443477,-4.4724
0.6,3.62,8.042,-1.9136401693252518,10.01295526929686,-4.3916
0.6,3.64,8.041,-1.9136401693252518,9.96297985496007,-4.3106
0.6,3.66,8.0396,-1.9136401693252518,9.902122605157878,-4.2292
0.6,3.68,8.0378,-1.9100948885606022,9.82240347642501,-4.1474
0.6,3.7,8.0355,-1.9100948885606022,9.723316084270499,-4.0651
0.6,3.72,8.0328,-1.9100948885606022,9.6171681519738,-3.9824
0.6,3.74,8.0302,-1.9065783148377649,9.531900233727594,-3.8998
0.6,3.76,8.0278,-1.9065783148377649,9.466036775232348,-3.8174
0.6,3.78,8.0257,-1.9065783148377649,9.401003979899482,-3.7353
0.6,3.8,8.0239,-1.9030899869919435,9.33963029007408,-3.6535
0.6,3.82,8.0223,-1.9030899869919435,9.283414311501195,-3.5719
0.6,3.84,8.0208,-1.9030899869919435,9.228554336539009,-3.4904
0.6,3.86,8.0193,-1.9030899869919435,9.174670241487048,-3.4089
0.6,3.88,8.0177,-1.899629454882437,9.121559844187502,-3.3274
0.6,3.9,8.0162,-1.899629454882437,9.069149889848779,-3.2458
0.6,3.92,8.0146,-1.899629454882437,9.017200343523836,-3.1642
0.6,3.94,8.013,-1.899629454882437,8.965624967109243,-3.0826
0.6,3.96,8.0113,-1.8961962790440432,8.914078585389111,-3.0009
0.6,3.98,8.0095,-1.8961962790440432,8.862369937122882,-2.9191
0.6,4.0,8.0077,-1.8961962790440432,8.810366953681624,-2.8374
0.6,4.02,8.0059,-1.8961962790440432,8.757699625087739,-2.7555
0.6,4.04,8.0038,-1.8927900303521317,8.704236337308787,-2.6734
0.6,4.06,8.0016,-1.8927900303521317,8.649821463224566,-2.5912
0.6,4.08,7.9993,-1.8927900303521317,8.594613509160098,-2.5089
